net,length_um
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[23\],20.48
uart_tx_raspi_inst.bit_cnt\[2\],20.48
uart_rx_raspi_inst.m_axis_tvalid_reg,20.46
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[9\],20.44
uart_rx_jetson_inst.m_axis_tdata_reg\[5\],20.42
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[6\],20.4
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[23\],20.38
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[12\],20.34
_0797_,20.32
uart_rx_jetson_inst.m_axis_tdata_reg\[0\],20.32
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[10\],20.28
uart_tx_jetson_inst.prescale_reg\[9\],20.24
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[25\],20.23
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[12\],20.16
_0672_,20.1
uart_tx_jetson_inst.prescale_reg\[10\],20.08
_0722_,19.98
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[26\],19.9
uart_tx_jetson_inst.bit_cnt\[3\],19.885
_0427_,19.84
_0537_,19.72
_0662_,19.66
uart_rx_jetson_inst.bit_cnt\[2\],19.62
_0973_,19.58
uart_rx_jetson_inst.data_reg\[5\],19.56
uart_rx_jetson_inst.prescale_reg\[4\],19.555
_0375_,19.54
_0713_,19.48
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[6\],19.38
_0255_,19.355
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[6\],19.18
uart_rx_raspi_inst.m_axis_tdata_reg\[3\],19.18
uart_rx_raspi_inst.m_axis_tdata_reg\[7\],19.18
_0845_,19.13
_0886_,19.1
uart_rx_raspi_inst.m_axis_tdata_reg\[6\],19.02
uart_rx_raspi_inst.prescale_reg\[10\],18.95
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[18\],18.86
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[10\],18.82
net174,18.82
net96,18.66
uart_rx_raspi_inst.data_reg\[4\],18.62
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[10\],18.58
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[18\],18.58
uart_tx_raspi_inst.prescale_reg\[0\],18.56
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[7\],18.54
uart_tx_jetson_inst.prescale_reg\[12\],18.54
uart_rx_raspi_inst.data_reg\[2\],18.52
uart_rx_raspi_inst.prescale_reg\[4\],18.435
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[13\],18.42
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[7\],18.42
net84,18.38
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[2\],18.375
_0801_,18.36
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[26\],18.22
_0396_,18.2
uart_tx_jetson_inst.bit_cnt\[1\],18.16
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[0\],18.13
_0942_,17.98
_0996_,17.98
net155,17.98
_0434_,17.96
_0761_,17.94
_0929_,17.94
_0725_,17.92
_0861_,17.9
uart_rx_jetson_inst.prescale_reg\[18\],17.86
_0961_,17.82
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[5\],17.82
_0720_,17.7
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[22\],17.64
uart_tx_raspi_inst.prescale_reg\[12\],17.64
net4,17.42
uart_tx_jetson_inst.prescale_reg\[0\],17.4
uart_tx_raspi_inst.prescale_reg\[13\],17.4
_0686_,17.36
uart_rx_jetson_inst.prescale_reg\[8\],17.275
_0323_,17.245
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[19\],17.14
_0015_,17.12
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[21\],17.06
uart_tx_jetson_inst.data_reg\[1\],17.06
_0681_,16.94
_0654_,16.92
_0391_,16.88
_0730_,16.78
uart_rx_jetson_inst.prescale_reg\[14\],16.68
_0619_,16.56
_0782_,16.48
